k, Result
1, 0.0
2, 7.716049382716049E-4
3, 0.0023148148148148147
4, 0.006944444444444444
5, 0.01633230452674897
6, 0.028549382716049378
7, 0.04792524005486968
8, 0.06957304526748971
9, 0.09325703017832648
10, 0.11767332533150435
11, 0.13964501409846058
12, 0.1635600041914342
13, 0.1878977099527511
14, 0.21708692145506273
15, 0.2532737641619672
16, 0.28774126546385204
17, 0.3260047733132653
18, 0.3590261603445866
19, 0.3915783759832935
20, 0.41689145349624873
21, 0.4563746156749408
22, 0.4895407447848749
23, 0.5278286657320614
24, 0.5588722914002917
25, 0.5912428104157492
26, 0.6161654942793507
27, 0.6394512611480507
28, 0.674579994386724
29, 0.6989990540688482
30, 0.7264804514759817
31, 0.7525103085098821
32, 0.7765036837176703
33, 0.795586924191824
34, 0.8129140511721692
35, 0.8253417654882044
36, 0.847699589274261
37, 0.8631544303737761
38, 0.8786956818039755
39, 0.8929175553630173
40, 0.906896334288211
41, 0.9177536807124133
42, 0.927154975127035
43, 0.9335697616343497
44, 0.9388189781703171
45, 0.9487866702016277
46, 0.9556097903590972
47, 0.9624953373187037
48, 0.968128628363125
49, 0.9732641942940055
50, 0.977482431142163
51, 0.9807643736386947
52, 0.9829917896592684
53, 0.9846098487664077
54, 0.9855851323898479
55, 0.9890847927117249
56, 0.9910649287438743
57, 0.9931149215568068
58, 0.9944444569769613
59, 0.9955710931914183
60, 0.9963870534948139
61, 0.9971418542567678
62, 0.997542085340587
63, 0.9977812686438382
64, 0.9979060548984579
65, 0.9979847101995238
66, 0.9988311618443344
67, 0.9992335006826938
68, 0.9994577353343763
69, 0.9996086787634795
70, 0.999708696849065
71, 0.9997702888144986
72, 0.9998305374352549
73, 0.9998612585904613
74, 0.9998685340577594
75, 0.9998699225036299
76, 0.9998701041204857
77, 0.9998701164728605
78, 1.0000000000000002
