k, Result
1, 0.0
2, 7.716049382716049E-4
3, 0.0023148148148148147
4, 0.006944444444444444
5, 0.01633230452674897
6, 0.028549382716049378
7, 0.0482681755829904
8, 0.07077331961591221
9, 0.09325703017832646
10, 0.11767332533150433
11, 0.14278858977290043
12, 0.17018056508154242
13, 0.19427178593202254
14, 0.22465174579586444
15, 0.2558288455350641
16, 0.29298287359862146
17, 0.32884530352969565
18, 0.3641386384348168
19, 0.39848061501359033
20, 0.42627435212704695
21, 0.4652025042893402
22, 0.4989854300250991
23, 0.5341178788396783
24, 0.5636292649519185
25, 0.597561145406134
26, 0.6228444679918608
27, 0.6466915918597385
28, 0.6830641720165079
29, 0.7100335245564132
30, 0.7361228713845809
31, 0.7589179944948288
32, 0.7812725031431182
33, 0.8006953266946516
34, 0.8174944467157276
35, 0.830281029863255
36, 0.8548704664536769
37, 0.8718764061461375
38, 0.8879847719095189
39, 0.9003888826644793
40, 0.9114391286848873
41, 0.9211410047435488
42, 0.9300822857951427
43, 0.9366076662276267
44, 0.941716594588733
45, 0.9526378463062116
46, 0.9603291303439777
47, 0.9676160593822032
48, 0.9728113921277527
49, 0.9766052127714338
50, 0.9794617238022839
51, 0.9820331050485819
52, 0.9841781169607399
53, 0.9857443092096333
54, 0.9867907551924233
55, 0.9904444394232024
56, 0.9925910783701295
57, 0.9946404076592265
58, 0.9957721938768459
59, 0.9966073817806139
60, 0.9970476721608931
61, 0.9974619084378278
62, 0.997772308376125
63, 0.9980328382998729
64, 0.9981883084470907
65, 0.9982710505323344
66, 0.9990780806866943
67, 0.999445054014369
68, 0.9996393141926515
69, 0.9997492126540873
70, 0.9998129477431836
71, 0.9998442537807386
72, 0.9998622448247065
73, 0.9998795672529673
74, 0.9998915502282167
75, 0.9998988146498613
76, 0.9999005575081341
77, 0.9999006298533621
78, 1.0000000000000002
