k, Result
1, 0.0
2, 7.716049382716049E-4
3, 7.716049382716049E-4
4, 7.716049382716049E-4
5, 0.0010288065843621398
6, 0.0014146090534979422
7, 0.002357681755829904
8, 0.0035365226337448555
9, 0.003922325102880658
10, 0.005476251714677641
11, 0.006169267261088249
12, 0.007518385154702026
13, 0.009833199969516841
14, 0.012937480948026213
15, 0.015331282070822535
16, 0.019318701417466846
17, 0.023801207471760736
18, 0.028810751981405272
19, 0.03283177689291943
20, 0.040736361432877774
21, 0.048597450581296886
22, 0.05624252915657617
23, 0.0663852795982997
24, 0.07853330540807915
25, 0.09219511784939438
26, 0.10714865705341703
27, 0.12173724291007842
28, 0.13895001029629817
29, 0.15540756636006317
30, 0.17345995114996496
31, 0.19294744068828507
32, 0.2146605774980587
33, 0.23795328151725684
34, 0.2635976123307412
35, 0.2903579694428391
36, 0.3210688865535193
37, 0.3474705712504356
38, 0.37356090036433176
39, 0.39991744746499075
40, 0.4273711538644845
41, 0.45482516935934447
42, 0.4843869707523307
43, 0.5138726347330763
44, 0.5450351736585014
45, 0.5835275017712775
46, 0.6119729682126632
47, 0.6390799727536384
48, 0.6638627313945619
49, 0.6874165287194077
50, 0.710677346318148
51, 0.733777295588859
52, 0.7566472126665837
53, 0.7792173710449288
54, 0.8016356363683922
55, 0.8328464761216722
56, 0.8528046056268453
57, 0.8697415223649253
58, 0.8825566420386891
59, 0.8943434266228171
60, 0.904958427022943
61, 0.9156008055487319
62, 0.9253886608551841
63, 0.9352920762723825
64, 0.9445597511855671
65, 0.9537144192821235
66, 0.9690349217967124
67, 0.975792569079956
68, 0.9798240206853371
69, 0.9825811299704749
70, 0.984737781471116
71, 0.9866619059517716
72, 0.9884517977749057
73, 0.9902298304622593
74, 0.991770575529165
75, 0.9934378045808883
76, 0.9948597749316846
77, 0.9963778188639208
78, 1.0
