k, Result
1, 0.027777777777777776
2, 0.027777777777777776
3, 0.07407407407407407
4, 0.06481481481481481
5, 0.07407407407407407
6, 0.16203703703703703
7, 0.039351851851851846
8, 0.050925925925925916
9, 0.05092592592592592
10, 0.08847736625514403
11, 0.07073045267489712
12, 0.058127572016460904
13, 0.021604938271604937
14, 0.019547325102880656
15, 0.050368655692729754
16, 0.03187157064471879
17, 0.024969993141289427
18, 0.00932355967078189
19, 0.0025720164609053485
20, 7.501714677640601E-4
21, 0.024434156378600816
