k, Result
1, 0.0
2, 7.716049382716049E-4
3, 0.0015432098765432098
4, 0.004629629629629629
5, 0.009387860082304526
6, 0.012217078189300411
7, 0.019118655692729768
8, 0.021647805212620032
9, 0.023683984910836765
10, 0.023358910608139005
11, 0.02197168876695625
12, 0.02130725118122237
13, 0.024301983310470964
14, 0.02918921150231164
15, 0.03609158283798201
16, 0.031009568060001016
17, 0.036925106691053186
18, 0.03277609286884622
19, 0.032178585263933336
20, 0.024898498625082553
21, 0.03807063693482672
22, 0.032840867374623904
23, 0.03808804060416631
24, 0.030246634636417774
25, 0.03187167263011086
26, 0.02461978173641335
27, 0.023109933027313942
28, 0.034882025062518696
29, 0.02395219689577227
30, 0.027299281969999298
31, 0.025860700938727204
32, 0.023705860420130776
33, 0.018626781422843082
34, 0.017116772257747683
35, 0.012389922756153787
36, 0.02227171490268497
37, 0.015338405735145888
38, 0.0153321581685575
39, 0.014156922748187148
40, 0.013924734145301172
41, 0.010761914138034522
42, 0.009285732904898734
43, 0.006279157250549722
44, 0.005227824739837799
45, 0.009939338413541525
46, 0.00678151537784367
47, 0.006801888767946183
48, 0.005596625125902242
49, 0.00509381794095313
50, 0.004204235162427817
51, 0.003264529325730865
52, 0.002216638366861477
53, 0.0015906623007278168
54, 9.532979935398982E-4
55, 0.0034896083070328414
56, 0.00195402420730239
57, 0.0020345711861480134
58, 0.0013234098948941213
59, 0.0011202275894305748
60, 8.039433603663439E-4
61, 7.486963726880638E-4
62, 3.9644242982616294E-4
63, 2.3812029616118166E-4
64, 1.23015711170398E-4
65, 7.737845164366755E-5
66, 8.371441923691029E-4
67, 4.0200233516539933E-4
68, 2.2237941042894062E-4
69, 1.5030672017116801E-4
70, 9.947877386783467E-5
71, 5.9040552546809716E-5
72, 5.900367256411463E-5
73, 2.982249055873024E-5
74, 6.727321696588276E-6
75, 1.3002958941566308E-6
76, 9.184919239829653E-8
77, 0.0
78, 1.2988351335447605E-4
