k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.36363636363636365
10, 0.0
11, 0.03272727272727272
12, 0.6902654867256637
13, 0.6428571428571428
14, 0.8157894736842105
15, 0.0
16, 1.0
17, 1.0
18, 1.0
19, 1.0
20, 1.0
21, 1.0
22, NaN
23, NaN
24, NaN
25, NaN
26, NaN
27, NaN
28, NaN
29, NaN
30, NaN
31, NaN
32, NaN
33, NaN
34, NaN
35, NaN
36, NaN
37, NaN
38, NaN
39, NaN
40, NaN
41, NaN
42, NaN
43, NaN
44, NaN
45, NaN
46, NaN
47, NaN
48, NaN
49, NaN
50, NaN
51, NaN
52, NaN
53, NaN
54, NaN
55, NaN
56, NaN
57, NaN
58, NaN
59, NaN
60, NaN
61, NaN
62, NaN
63, NaN
64, NaN
65, NaN
66, NaN
67, NaN
68, NaN
69, NaN
70, NaN
71, NaN
72, NaN
73, NaN
74, NaN
75, NaN
76, NaN
77, NaN
78, NaN
