k, Result
1, 0.0
2, 7.716049382716049E-4
3, 0.0015432098765432098
4, 0.004629629629629629
5, 0.009387860082304526
6, 0.012217078189300411
7, 0.019118655692729764
8, 0.02164780521262003
9, 0.023683984910836762
10, 0.023358910608139
11, 0.02197168876695625
12, 0.021307251181222373
13, 0.024301983310470964
14, 0.029189211502311636
15, 0.036091582837982014
16, 0.03100956806000102
17, 0.03692510669105319
18, 0.0327760928688462
19, 0.032178585263933336
20, 0.024898498625082557
21, 0.03807063693482672
22, 0.0328408673746239
23, 0.038088040604166304
24, 0.030246634636417778
25, 0.03187167263011086
26, 0.024619781736413354
27, 0.023109933027313942
28, 0.0348820250625187
29, 0.02395219689577227
30, 0.027299281969999298
31, 0.025860700938727207
32, 0.023705860420130773
33, 0.018626781422843085
34, 0.01711677225774768
35, 0.012389922756153785
36, 0.022271714902684966
37, 0.015338405735145883
38, 0.015332158168557498
39, 0.01415692274818715
40, 0.013924734145301173
41, 0.010761914138034526
42, 0.009285732904898734
43, 0.006279157250549723
44, 0.005227824739837798
45, 0.009939338413541526
46, 0.00678151537784367
47, 0.006801888767946185
48, 0.005596625125902242
49, 0.005093817940953129
50, 0.0042042351624278175
51, 0.003264529325730865
52, 0.002216638366861477
53, 0.0015906623007278166
54, 9.533164089869047E-4
55, 0.0034896083070328422
56, 0.0019540242073023905
57, 0.0020345711861480134
58, 0.0013234098948941215
59, 0.001120227589430575
60, 8.039433603663439E-4
61, 7.486963726880637E-4
62, 3.96442429826163E-4
63, 2.381202961611817E-4
64, 1.23015711170398E-4
65, 7.737895709222244E-5
66, 8.371441923691032E-4
67, 4.020023351653994E-4
68, 2.2237941042894062E-4
69, 1.5030672017116807E-4
70, 9.947877386783467E-5
71, 5.904055254680971E-5
72, 5.900367256411464E-5
73, 2.982249055873024E-5
74, 6.727321696588273E-6
75, 1.3438699904688399E-6
76, 1.8161685574779479E-7
77, 3.548511426046549E-9
78, 1.2988351335447605E-4
