k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 6.096631611034902E-4
6, 6.096631611034902E-4
7, 0.003048315805517451
8, 0.014633797542906925
9, 0.03905043080981708
10, 0.040642329063809525
11, 0.049294277257494246
12, 0.054261903014633794
13, 0.06444834671611804
14, 0.08877154661791777
15, 0.09682651554342546
16, 0.1312664906579063
17, 0.1594080069420386
18, 0.1880121833205367
19, 0.21819285694343676
20, 0.23901232544260193
21, 0.2611017611926043
22, 0.28621654258685547
23, 0.3171072262692504
24, 0.3541092648704894
25, 0.40160590273330166
26, 0.44171746597542083
27, 0.4804929808187018
28, 0.5069124118844819
29, 0.5316313588154084
30, 0.5597574376065138
31, 0.5917626721426263
32, 0.6291240569236757
33, 0.6612551797838037
34, 0.6913718486221657
35, 0.7201734515209635
36, 0.7549686448773371
37, 0.7754399059652718
38, 0.7960243034336276
39, 0.8107628545801577
40, 0.8332942226612726
41, 0.8586146133944755
42, 0.8751866087027071
43, 0.8862421465671626
44, 0.897889353150363
45, 0.9211853554976407
46, 0.9344312901817029
47, 0.9411202757841759
48, 0.9482700186929552
49, 0.9524629599670869
50, 0.9613663243345885
51, 0.9686131126298327
52, 0.9730403150408595
53, 0.9758468430463649
54, 0.9774299671225457
55, 0.9871172843605764
56, 0.9904820439072662
57, 0.9926727792436544
58, 0.9934140899649995
59, 0.994205186532559
60, 0.9946935023386267
61, 0.9958001158973084
62, 0.9967855732106348
63, 0.9972436234915569
64, 0.9974507156298617
65, 0.9975545877327543
66, 0.9992392305812762
67, 0.9996318543995113
68, 0.9997456209337386
69, 0.9997953154433281
70, 0.9998129801697762
71, 0.9998301160919885
72, 0.9998428130743545
73, 0.9998791654541899
74, 0.9999079207277464
75, 0.9999152909319771
76, 0.9999181323831027
77, 0.999918996713845
78, 1.0
