k, Result
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 1.8816764231589204E-6
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 4.6461146250837534E-7
14, 2.5553630437960644E-6
15, 7.805472570140706E-6
16, 8.871755876597428E-5
17, 2.3908905860680997E-4
18, 4.780851949211183E-5
19, 1.2974705286345002E-6
20, 1.2508975314760214E-4
21, 3.869238372217897E-5
22, 6.690863935639133E-5
23, 2.1574950254574108E-4
24, 4.496093878217392E-4
25, 0.0010924128256704331
26, 5.769594711315267E-4
27, 0.001591365512261979
28, 0.0013676530536174476
29, 0.003956850710177686
30, 0.005436768693288912
31, 5.968799372063576E-4
32, 0.0025373264777078615
33, 0.0021514005637327397
34, 0.004268958367667565
35, 0.0019320982323470285
36, 0.008482022618906114
37, 0.005660841398765082
38, 0.006972997287362588
39, 0.0056048729000989905
40, 0.0052479034797102905
41, 0.004613468052384789
42, 0.00430331066008562
43, 0.003350693977962068
44, 0.004289317690331705
45, 0.011530873644924111
46, 0.005094416365508245
47, 0.0035804681618341917
48, 0.002771609699965679
49, 0.0019865554482732754
50, 0.0017121744657319937
51, 0.0019984695043708937
52, 0.0017076061273323753
53, 0.0012492248138494307
54, 8.450668098943699E-4
55, 0.007383754962028208
56, 0.001861881717972069
57, 0.0011483688165909688
58, 3.544164148433994E-4
59, 2.889768718448738E-4
60, 1.3476399776503805E-4
61, 1.2228406849397203E-4
62, 1.5114228730092093E-4
63, 1.1074240077496171E-4
64, 5.655137427469202E-5
65, 3.685397808661826E-5
66, 0.0015175111761462985
67, 2.822706151208602E-4
68, 5.2137332212472395E-5
69, 1.0651977820578517E-5
70, 2.5452511084180087E-6
71, 1.2957157415139097E-6
72, 3.57244848992654E-7
73, 1.0350547152640703E-8
74, 0.0
75, 0.0
76, 0.0
77, 0.0
78, 8.099433943828876E-5
