k, Result
1, 0.027777888889000003
2, 0.027777888889000003
3, 0.07407440740785186
4, 0.06481509259292594
5, 0.07407440740785186
6, 0.16203786111250001
7, 0.04861141666733334
8, 0.05092625000072223
9, 0.050926250000722234
10, 0.10082375103064199
11, 0.07073095164740126
12, 0.05812801131813582
13, 0.02314834259322223
14, 0.019547489712469144
15, 0.050369110941281735
16, 0.034186701818732436
17, 0.02497022333761275
18, 0.009323656121804273
19, 0.002572043467193931
20, 7.501791838455935E-4
21, 0.024434382974094147
